County,State,Air_Pollution_Score
Ada County,ID,0.3847777777777778
Adams County,CO,0.44674638115204157
Adams County,PA,0.42092392932015577
Aguas Buenas Municipio,PR,0.6511666666666667
Aibonito Municipio,PR,0.6511666666666667
Aiken County,SC,0.7867857142857135
Alachua County,FL,0.8399999999999999
Alameda County,CA,0.3423873515024458
Albany County,NY,0.4879523809523809
Albany County,WY,0.8052380952380952
Alexander County,NC,0.7741666666666667
Alexandria city,VA,0.44864854746930216
Allegan County,MI,0.8095238095238095
Allegheny County,PA,0.47162314465408806
Allen County,IN,0.9142857142857143
Allen County,KY,0.8828571428571428
Allen County,OH,0.9457142857142855
Amelia County,VA,0.392412623539982
Anchorage Municipality,AK,0.3602777777777777
Anderson County,TN,0.8657142857142857
Anne Arundel County,MD,0.49842917041030244
Anoka County,MN,0.39595857043026833
Anson County,NC,0.5726205450733753
Aransas County,TX,0.5468730158730158
Arapahoe County,CO,0.44674638115204157
Arlington County,VA,0.44864854746930216
Armstrong County,PA,0.47162314465408806
Ascension Parish,LA,0.4114077867625038
Assumption Parish,LA,0.4114077867625038
Atascosa County,TX,0.5068475591494459
Athens County,OH,0.5166666666666667
Atlantic County,NJ,0.5366666666666667
Austin County,TX,0.45472457821703105
Autauga County,AL,0.8314285714285699
Baker County,FL,0.48519766397124886
Baldwin County,AL,0.7476190476190475
Ballard County,KY,0.38740700808625333
Baltimore County,MD,0.49842917041030244
Baltimore city,MD,0.49842917041030244
Bandera County,TX,0.5068475591494459
Bannock County,ID,0.624
Barceloneta Municipio,PR,0.6511666666666667
Barnstable County,MA,0.9085714285714286
Barranquitas Municipio,PR,0.6511666666666667
Barrow County,GA,0.5735079365079365
Barry County,MI,0.5671031746031745
Bartow County,GA,0.5735079365079365
Bastrop County,TX,0.7
Bates County,MO,0.38596292303084756
Bay County,FL,0.8399999999999999
Bay County,MI,0.5583333333333333
Bayamón Municipio,PR,0.6511666666666667
Beaver County,PA,0.47162314465408806
Belknap County,NH,0.5827380952380953
Bell County,KY,0.7636904761904761
Belmont County,OH,0.599015873015873
Bennington County,VT,0.8399999999999999
Benton County,IA,0.9142857142857143
Benton County,IN,0.9399999999999998
Benton County,MN,0.5983333333333333
Benton County,MS,0.9628571428571427
Benzie County,MI,0.9457142857142855
Bergen County,NJ,0.3789288210042927
Berkeley County,SC,0.39474860736747497
Berkeley County,WV,0.7609523809523809
Bernalillo County,NM,0.5624060497154837
Berrien County,MI,1.0428571428571427
Bexar County,TX,0.5068475591494459
Bibb County,AL,0.4518203174603174
Bibb County,GA,0.7975000000000001
Billings County,ND,0.45223809523809516
Black Hawk County,IA,0.9114285714285713
Blair County,PA,0.4902857142857143
Blount County,AL,0.4518203174603174
Blount County,TN,0.8657142857142857
Boise County,ID,0.3847777777777778
Bolivar County,MS,0.9028571428571429
Bond County,IL,0.47221707097933513
Bonneville County,ID,0.897142857142857
Boone County,AR,0.8714285714285713
Boone County,IL,0.9885714285714284
Boone County,IN,0.5999404761904762
Boone County,KY,0.6791428571428572
Boone County,WV,0.7616666666666667
Bossier Parish,LA,0.8599999999999999
Botetourt County,VA,0.3247798742138364
Boulder County,CO,0.44033333333333335
Bourbon County,KY,0.4245846810422282
Boyd County,KY,0.38657502246181485
Bracken County,KY,0.6791428571428572
Brantley County,GA,0.7291666666666659
Brazoria County,TX,0.45472457821703105
Bremer County,IA,0.9114285714285713
Brevard County,FL,0.6949999999999998
Bristol County,MA,0.3493333333333333
Bristol County,RI,0.3493333333333333
Bristol city,VA,0.7272619047619047
Bronx County,NY,0.3789288210042927
Brooke County,WV,0.5771071428571428
Brooks County,GA,0.7000000000000001
Broomfield County,CO,0.44674638115204157
Broward County,FL,0.3261608265947889
Brown County,IN,0.5999404761904762
Brown County,OH,0.6791428571428572
Brown County,WI,0.5468730158730158
Brunswick County,NC,0.857142857142857
Bryan County,GA,0.6010476190476183
Bucks County,PA,0.38780988319856247
Bullitt County,KY,0.5204761904761904
Buncombe County,NC,0.6891666666666666
Burke County,GA,0.7867857142857135
Burke County,NC,0.7741666666666667
Burleigh County,ND,0.4149339622641509
Burlington County,NJ,0.38780988319856247
Butler County,KS,0.46012506738544473
Butler County,KY,0.8828571428571428
