County,State,Pollutant,Trend Statistic,total_trend_sites,avg_last5
Ada County,ID,CO,2nd Max,1.0,1.28
Ada County,ID,PM10,2nd Max,2.0,94.1
Adams County,CO,CO,2nd Max,2.0,1.4600000000000002
Adams County,CO,NO2,Annual Mean,2.0,15.8
Adams County,CO,O3,4th Max,5.0,0.0782
Adams County,CO,PM10,2nd Max,2.0,72.5
Adams County,CO,PM2.5,98th Percentile,2.0,21.8
Adams County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Adams County,CO,SO2,99th Percentile,2.0,5.6
Adams County,PA,CO,2nd Max,1.0,0.44000000000000006
Adams County,PA,NO2,Annual Mean,1.0,2.4
Adams County,PA,O3,4th Max,1.0,0.0632
Adams County,PA,PM2.5,98th Percentile,1.0,22.2
Adams County,PA,PM2.5,Weighted Annual Mean,1.0,8.24
Aguas Buenas Municipio,PR,PM10,2nd Max,1.0,100.6
Aguas Buenas Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Aguas Buenas Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Aibonito Municipio,PR,PM10,2nd Max,1.0,100.6
Aibonito Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Aibonito Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Aiken County,SC,O3,4th Max,3.0,0.05939999999999999
Aiken County,SC,PM2.5,98th Percentile,2.0,20.8
Aiken County,SC,PM2.5,Weighted Annual Mean,2.0,8.7
Alachua County,FL,O3,4th Max,1.0,0.0588
Alameda County,CA,CO,2nd Max,5.0,1.04
Alameda County,CA,NO2,98th Percentile,6.0,33.2
Alameda County,CA,NO2,Annual Mean,6.0,6.8
Alameda County,CA,O3,4th Max,8.0,0.0588
Alameda County,CA,PM10,2nd Max,3.0,32.42
Alameda County,CA,PM2.5,98th Percentile,4.0,26.2
Alameda County,CA,PM2.5,Weighted Annual Mean,4.0,7.74
Alameda County,CA,SO2,99th Percentile,4.0,8.2
Albany County,NY,O3,4th Max,2.0,0.059
Albany County,NY,PM2.5,98th Percentile,1.0,20.4
Albany County,NY,PM2.5,Weighted Annual Mean,1.0,7.1
Albany County,NY,SO2,99th Percentile,1.0,2.2
Albany County,WY,O3,4th Max,1.0,0.067
Albany County,WY,PM10,2nd Max,1.0,98.0
Alexander County,NC,O3,4th Max,2.0,0.0602
Alexander County,NC,PM2.5,98th Percentile,1.0,19.2
Alexander County,NC,PM2.5,Weighted Annual Mean,1.0,8.26
Alexandria city,VA,CO,2nd Max,1.0,1.16
Alexandria city,VA,NO2,98th Percentile,4.0,35.0
Alexandria city,VA,NO2,Annual Mean,5.0,8.0
Alexandria city,VA,O3,4th Max,13.0,0.0638
Alexandria city,VA,PM2.5,98th Percentile,5.0,19.2
Alexandria city,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Allegan County,MI,O3,4th Max,1.0,0.0746
Allegan County,MI,PM2.5,98th Percentile,1.0,16.6
Allegan County,MI,PM2.5,Weighted Annual Mean,1.0,6.640000000000001
Allegheny County,PA,NO2,98th Percentile,2.0,34.8
Allegheny County,PA,NO2,Annual Mean,2.0,7.2
Allegheny County,PA,O3,4th Max,10.0,0.063
Allegheny County,PA,PM10,2nd Max,5.0,51.239999999999995
Allegheny County,PA,PM2.5,98th Percentile,10.0,21.8
Allegheny County,PA,PM2.5,Weighted Annual Mean,10.0,8.6
Allegheny County,PA,SO2,99th Percentile,5.0,19.8
Allen County,IN,O3,4th Max,2.0,0.064
Allen County,KY,O3,4th Max,1.0,0.0618
Allen County,OH,O3,4th Max,1.0,0.06620000000000001
Amelia County,VA,NO2,98th Percentile,1.0,27.8
Amelia County,VA,NO2,Annual Mean,1.0,3.8
Amelia County,VA,O3,4th Max,5.0,0.0598
Amelia County,VA,PM2.5,98th Percentile,3.0,16.4
Amelia County,VA,PM2.5,Weighted Annual Mean,3.0,6.859999999999999
Amelia County,VA,SO2,99th Percentile,1.0,5.4
Anchorage Municipality,AK,CO,2nd Max,1.0,2.48
Anchorage Municipality,AK,PM2.5,98th Percentile,2.0,23.4
Anchorage Municipality,AK,PM2.5,Weighted Annual Mean,2.0,5.339999999999999
Anderson County,TN,O3,4th Max,5.0,0.0606
Anne Arundel County,MD,CO,2nd Max,1.0,1.42
Anne Arundel County,MD,NO2,98th Percentile,1.0,49.8
Anne Arundel County,MD,NO2,Annual Mean,1.0,12.0
Anne Arundel County,MD,O3,4th Max,5.0,0.0688
Anne Arundel County,MD,PM2.5,98th Percentile,4.0,19.8
Anne Arundel County,MD,PM2.5,Weighted Annual Mean,4.0,7.519999999999999
Anoka County,MN,CO,2nd Max,3.0,1.0399999999999998
Anoka County,MN,NO2,98th Percentile,1.0,23.6
Anoka County,MN,NO2,Annual Mean,2.0,5.8
Anoka County,MN,O3,4th Max,3.0,0.06239999999999999
Anoka County,MN,PM10,2nd Max,1.0,76.8
Anoka County,MN,PM2.5,98th Percentile,6.0,24.8
Anoka County,MN,PM2.5,Weighted Annual Mean,6.0,7.88
Anoka County,MN,SO2,99th Percentile,4.0,6.8
Anson County,NC,NO2,98th Percentile,1.0,35.2
Anson County,NC,NO2,Annual Mean,1.0,6.6
Anson County,NC,O3,4th Max,6.0,0.0644
Anson County,NC,PM2.5,98th Percentile,1.0,18.8
Anson County,NC,PM2.5,Weighted Annual Mean,1.0,8.080000000000002
Aransas County,TX,O3,4th Max,2.0,0.0626
Aransas County,TX,PM2.5,98th Percentile,1.0,22.8
Aransas County,TX,PM2.5,Weighted Annual Mean,1.0,8.379999999999999
Aransas County,TX,SO2,99th Percentile,2.0,3.6
Arapahoe County,CO,CO,2nd Max,2.0,1.4600000000000002
Arapahoe County,CO,NO2,Annual Mean,2.0,15.8
Arapahoe County,CO,O3,4th Max,5.0,0.0782
Arapahoe County,CO,PM10,2nd Max,2.0,72.5
Arapahoe County,CO,PM2.5,98th Percentile,2.0,21.8
Arapahoe County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Arapahoe County,CO,SO2,99th Percentile,2.0,5.6
Arlington County,VA,CO,2nd Max,1.0,1.16
Arlington County,VA,NO2,98th Percentile,4.0,35.0
Arlington County,VA,NO2,Annual Mean,5.0,8.0
Arlington County,VA,O3,4th Max,13.0,0.0638
Arlington County,VA,PM2.5,98th Percentile,5.0,19.2
Arlington County,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Armstrong County,PA,NO2,98th Percentile,2.0,34.8
Armstrong County,PA,NO2,Annual Mean,2.0,7.2
Armstrong County,PA,O3,4th Max,10.0,0.063
Armstrong County,PA,PM10,2nd Max,5.0,51.239999999999995
Armstrong County,PA,PM2.5,98th Percentile,10.0,21.8
Armstrong County,PA,PM2.5,Weighted Annual Mean,10.0,8.6
Armstrong County,PA,SO2,99th Percentile,5.0,19.8
Ascension Parish,LA,CO,2nd Max,1.0,0.86
Ascension Parish,LA,NO2,98th Percentile,5.0,24.2
Ascension Parish,LA,NO2,Annual Mean,5.0,4.2
Ascension Parish,LA,O3,4th Max,9.0,0.0664
Ascension Parish,LA,PM2.5,98th Percentile,3.0,19.0
Ascension Parish,LA,PM2.5,Weighted Annual Mean,3.0,8.58
Ascension Parish,LA,SO2,99th Percentile,2.0,16.4
Assumption Parish,LA,CO,2nd Max,1.0,0.86
Assumption Parish,LA,NO2,98th Percentile,5.0,24.2
Assumption Parish,LA,NO2,Annual Mean,5.0,4.2
Assumption Parish,LA,O3,4th Max,9.0,0.0664
Assumption Parish,LA,PM2.5,98th Percentile,3.0,19.0
Assumption Parish,LA,PM2.5,Weighted Annual Mean,3.0,8.58
Assumption Parish,LA,SO2,99th Percentile,2.0,16.4
Atascosa County,TX,NO2,98th Percentile,1.0,34.2
Atascosa County,TX,NO2,Annual Mean,1.0,4.4
Atascosa County,TX,O3,4th Max,3.0,0.07160000000000001
Atascosa County,TX,PM10,2nd Max,1.0,62.2
Athens County,OH,PM2.5,98th Percentile,1.0,15.8
Athens County,OH,PM2.5,Weighted Annual Mean,1.0,6.2
Atlantic County,NJ,PM2.5,98th Percentile,1.0,15.0
Atlantic County,NJ,PM2.5,Weighted Annual Mean,1.0,6.44
Austin County,TX,CO,2nd Max,1.0,1.16
Austin County,TX,NO2,98th Percentile,8.0,37.0
Austin County,TX,NO2,Annual Mean,10.0,7.2
Austin County,TX,O3,4th Max,15.0,0.07260000000000001
Austin County,TX,PM10,2nd Max,4.0,64.92
Austin County,TX,PM2.5,98th Percentile,3.0,22.8
Austin County,TX,PM2.5,Weighted Annual Mean,3.0,10.26
