fips,county,incidence_rate
00000,US (SEER+NPCR)(1),444.4
12125,"Union County, Florida(6)",1248.4
27155,"Traverse County, Minnesota(6)",693.5
48373,"Polk County, Texas(7)",679.5
51640,"Galax City, Virginia(6)",655.0
31077,"Greeley County, Nebraska(6)",653.1
46041,"Dewey County, South Dakota(6)",634.5
28119,"Quitman County, Mississippi(6)",626.5
30107,"Wheatland County, Montana(6)",626.0
46049,"Faulk County, South Dakota(6)",625.3
48433,"Stonewall County, Texas(7)",621.1
31113,"Logan County, Nebraska(6)",609.3
21137,"Lincoln County, Kentucky(7)",608.6
21071,"Floyd County, Kentucky(7)",606.6
13053,"Chattahoochee County, Georgia(7)",605.6
21023,"Bracken County, Kentucky(7)",605.3
30087,"Rosebud County, Montana(6)",602.9
21121,"Knox County, Kentucky(7)",595.8
31087,"Hitchcock County, Nebraska(6)",593.2
46003,"Aurora County, South Dakota(6)",592.3
21189,"Owsley County, Kentucky(7)",592.1
21197,"Powell County, Kentucky(7)",592.1
17129,"Menard County, Illinois(7)",591.0
47169,"Trousdale County, Tennessee(6)",588.7
21139,"Livingston County, Kentucky(7)",588.6
21065,"Estill County, Kentucky(7)",586.6
22047,"Iberville Parish, Louisiana(7)",586.4
48229,"Hudspeth County, Texas(7)",585.8
05075,"Lawrence County, Arkansas(6)",585.0
21011,"Bath County, Kentucky(7)",583.7
21001,"Adair County, Kentucky(7)",583.1
27081,"Lincoln County, Minnesota(6)",582.3
38079,"Rolette County, North Dakota(6)",580.9
19147,"Palo Alto County, Iowa(7)",580.0
22023,"Cameron Parish, Louisiana(7)",579.7
21057,"Cumberland County, Kentucky(7)",579.6
46087,"McCook County, South Dakota(6)",578.8
54073,"Pleasants County, West Virginia(6)",577.4
54045,"Logan County, West Virginia(6)",576.7
21081,"Grant County, Kentucky(7)",575.8
21237,"Wolfe County, Kentucky(7)",574.5
13227,"Pickens County, Georgia(7)",572.1
30037,"Golden Valley County, Montana(6)",571.9
21235,"Whitley County, Kentucky(7)",569.5
