fips,county,incidence_rate
0.0,US (SEER+NPCR)(1),444.4 
12125.0,"Union County, Florida(6)",1248.4 
27155.0,"Traverse County, Minnesota(6)",693.5 
48373.0,"Polk County, Texas(7)",679.5 
51640.0,"Galax City, Virginia(6)",655 
31077.0,"Greeley County, Nebraska(6)",653.1 
46041.0,"Dewey County, South Dakota(6)",634.5 
28119.0,"Quitman County, Mississippi(6)",626.5 
30107.0,"Wheatland County, Montana(6)",626 
46049.0,"Faulk County, South Dakota(6)",625.3 
48433.0,"Stonewall County, Texas(7)",621.1 
31113.0,"Logan County, Nebraska(6)",609.3 
21137.0,"Lincoln County, Kentucky(7)",608.6 
21071.0,"Floyd County, Kentucky(7)",606.6 
13053.0,"Chattahoochee County, Georgia(7)",605.6 
21023.0,"Bracken County, Kentucky(7)",605.3 
30087.0,"Rosebud County, Montana(6)",602.9 
21121.0,"Knox County, Kentucky(7)",595.8 
31087.0,"Hitchcock County, Nebraska(6)",593.2 
46003.0,"Aurora County, South Dakota(6)",592.3 
21189.0,"Owsley County, Kentucky(7)",592.1 
21197.0,"Powell County, Kentucky(7)",592.1 
17129.0,"Menard County, Illinois(7)",591 
47169.0,"Trousdale County, Tennessee(6)",588.7 
21139.0,"Livingston County, Kentucky(7)",588.6 
21065.0,"Estill County, Kentucky(7)",586.6 
22047.0,"Iberville Parish, Louisiana(7)",586.4 
48229.0,"Hudspeth County, Texas(7)",585.8 
5075.0,"Lawrence County, Arkansas(6)",585 
21011.0,"Bath County, Kentucky(7)",583.7 
21001.0,"Adair County, Kentucky(7)",583.1 
27081.0,"Lincoln County, Minnesota(6)",582.3 
38079.0,"Rolette County, North Dakota(6)",580.9 
19147.0,"Palo Alto County, Iowa(7)",580 
22023.0,"Cameron Parish, Louisiana(7)",579.7 
21057.0,"Cumberland County, Kentucky(7)",579.6 
46087.0,"McCook County, South Dakota(6)",578.8 
54073.0,"Pleasants County, West Virginia(6)",577.4 
54045.0,"Logan County, West Virginia(6)",576.7 
21081.0,"Grant County, Kentucky(7)",575.8 
21237.0,"Wolfe County, Kentucky(7)",574.5 
13227.0,"Pickens County, Georgia(7)",572.1 
30037.0,"Golden Valley County, Montana(6)",571.9 
21235.0,"Whitley County, Kentucky(7)",569.5 
48063.0,"Camp County, Texas(7)",568.8 
19029.0,"Cass County, Iowa(7)",568.8 
27087.0,"Mahnomen County, Minnesota(6)",568 
17173.0,"Shelby County, Illinois(7)",567.9 
21085.0,"Grayson County, Kentucky(7)",567 
39087.0,"Lawrence County, Ohio(6)",566 
51057.0,"Essex County, Virginia(6)",565.6 
17121.0,"Marion County, Illinois(7)",565.2 
21053.0,"Clinton County, Kentucky(7)",565.1 
23021.0,"Piscataquis County, Maine(6)",564.2 
17003.0,"Alexander County, Illinois(7)",564.2 
21031.0,"Butler County, Kentucky(7)",563.2 
30079.0,"Prairie County, Montana(6)",563 
29181.0,"Ripley County, Missouri(6)",561.3 
51115.0,"Mathews County, Virginia(6)",560.8 
17137.0,"Morgan County, Illinois(7)",560.2 
5111.0,"Poinsett County, Arkansas(6)",559.5 
1041.0,"Crenshaw County, Alabama(6)",558.5 
54041.0,"Lewis County, West Virginia(6)",558 
17149.0,"Pike County, Illinois(7)",557.7 
46071.0,"Jackson County, South Dakota(6)",556.9 
17037.0,"DeKalb County, Illinois(7)",556.8 
31009.0,"Blaine County, Nebraska(6)",556.6 
21043.0,"Carter County, Kentucky(7)",555.8 
21097.0,"Harrison County, Kentucky(7)",555.1 
37007.0,"Anson County, North Carolina(6)",554.9 
19035.0,"Cherokee County, Iowa(7)",554.9 
17171.0,"Scott County, Illinois(7)",554.9 
17025.0,"Clay County, Illinois(7)",554.3 
17115.0,"Macon County, Illinois(7)",553.7 
39131.0,"Pike County, Ohio(6)",553.3 
12053.0,"Hernando County, Florida(6)",553.1 
54043.0,"Lincoln County, West Virginia(6)",553 
23029.0,"Washington County, Maine(6)",552.8 
21217.0,"Taylor County, Kentucky(7)",552.7 
27125.0,"Red Lake County, Minnesota(6)",552.4 
21127.0,"Lawrence County, Kentucky(7)",552.4 
21171.0,"Monroe County, Kentucky(7)",551.7 
19007.0,"Appanoose County, Iowa(7)",551.7 
54015.0,"Clay County, West Virginia(6)",551.1 
21103.0,"Henry County, Kentucky(7)",551.1 
21195.0,"Pike County, Kentucky(7)",550.7 
51670.0,"Hopewell City, Virginia(6)",550.2 
46077.0,"Kingsbury County, South Dakota(6)",550.1 
21215.0,"Spencer County, Kentucky(7)",550 
51580.0,"Covington City, Virginia(6)",549.7 
17125.0,"Mason County, Illinois(7)",549.5 
13289.0,"Twiggs County, Georgia(7)",549.2 
36063.0,"Niagara County, New York(7)",549 
21149.0,"McLean County, Kentucky(7)",548.5 
21069.0,"Fleming County, Kentucky(7)",548.5 
1085.0,"Lowndes County, Alabama(6)",548.3 
42093.0,"Montour County, Pennsylvania(6)",548 
21051.0,"Clay County, Kentucky(7)",547.7 
21203.0,"Rockcastle County, Kentucky(7)",547.5 
36073.0,"Orleans County, New York(7)",547.5 
34009.0,"Cape May County, New Jersey(7)",547.2 
28141.0,"Tishomingo County, Mississippi(6)",547.2 
17153.0,"Pulaski County, Illinois(7)",546.9 
27107.0,"Norman County, Minnesota(6)",546.5 
29149.0,"Oregon County, Missouri(6)",546.3 
19085.0,"Harrison County, Iowa(7)",546.2 
46017.0,"Buffalo County, South Dakota(6)",546.1 
36075.0,"Oswego County, New York(7)",545.7 
17167.0,"Sangamon County, Illinois(7)",545.7 
48137.0,"Edwards County, Texas(7)",545.6 
21039.0,"Carlisle County, Kentucky(7)",545.2 
21167.0,"Mercer County, Kentucky(7)",545 
21087.0,"Green County, Kentucky(7)",544.7 
17061.0,"Greene County, Illinois(7)",544.6 
17117.0,"Macoupin County, Illinois(7)",544.4 
51730.0,"Petersburg City, Virginia(6)",544.3 
39167.0,"Washington County, Ohio(6)",544.3 
27167.0,"Wilkin County, Minnesota(6)",544.2 
21173.0,"Montgomery County, Kentucky(7)",543.9 
21187.0,"Owen County, Kentucky(7)",543.9 
5043.0,"Drew County, Arkansas(6)",543.8 
28027.0,"Coahoma County, Mississippi(6)",543.8 
17021.0,"Christian County, Illinois(7)",543.5 
31071.0,"Garfield County, Nebraska(6)",542.7 
50013.0,"Grand Isle County, Vermont(6)",542.6 
48119.0,"Delta County, Texas(7)",542.5 
22097.0,"St. Landry Parish, Louisiana(7)",542.3 
13231.0,"Pike County, Georgia(7)",542 
12089.0,"Nassau County, Florida(6)",541.8 
17063.0,"Grundy County, Illinois(7)",541.8 
48011.0,"Armstrong County, Texas(7)",541.7 
28053.0,"Humphreys County, Mississippi(6)",541.6 
21027.0,"Breckinridge County, Kentucky(7)",541.5 
13105.0,"Elbert County, Georgia(7)",541.3 
46111.0,"Sanborn County, South Dakota(6)",541.3 
51135.0,"Nottoway County, Virginia(6)",541.2 
51007.0,"Amelia County, Virginia(6)",541.1 
36023.0,"Cortland County, New York(7)",541 
19135.0,"Monroe County, Iowa(7)",540.9 
17107.0,"Logan County, Illinois(7)",540.8 
27027.0,"Clay County, Minnesota(6)",540.1 
28031.0,"Covington County, Mississippi(6)",539.7 
19089.0,"Howard County, Iowa(7)",539.3 
5147.0,"Woodruff County, Arkansas(6)",539.3 
13311.0,"White County, Georgia(7)",538.7 
46027.0,"Clay County, South Dakota(6)",538.2 
21093.0,"Hardin County, Kentucky(7)",538.2 
21193.0,"Perry County, Kentucky(7)",538.1 
30065.0,"Musselshell County, Montana(6)",538 
30043.0,"Jefferson County, Montana(6)",537.7 
21019.0,"Boyd County, Kentucky(7)",537.6 
21099.0,"Hart County, Kentucky(7)",537.5 
51103.0,"Lancaster County, Virginia(6)",537.4 
37111.0,"McDowell County, North Carolina(6)",537.2 
29139.0,"Montgomery County, Missouri(6)",537 
22113.0,"Vermilion Parish, Louisiana(7)",537 
13159.0,"Jasper County, Georgia(7)",536.9 
48317.0,"Martin County, Texas(7)",536.7 
37133.0,"Onslow County, North Carolina(6)",536.5 
17183.0,"Vermilion County, Illinois(7)",536.1 
51678.0,"Lexington City, Virginia(6)",535.7 
47117.0,"Marshall County, Tennessee(6)",535.6 
24001.0,"Allegany County, Maryland(6)",535.4 
21155.0,"Marion County, Kentucky(7)",535.4 
21185.0,"Oldham County, Kentucky(7)",535.1 
21207.0,"Russell County, Kentucky(7)",535.1 
36045.0,"Jefferson County, New York(7)",534.9 
40117.0,"Pawnee County, Oklahoma(6)",534.7 
55078.0,"Menominee County, Wisconsin(6)",534.6 
13187.0,"Lumpkin County, Georgia(7)",534.6 
54103.0,"Wetzel County, West Virginia(6)",534.6 
36097.0,"Schuyler County, New York(7)",534.6 
21231.0,"Wayne County, Kentucky(7)",534.5 
51690.0,"Martinsville City, Virginia(6)",534.3 
37173.0,"Swain County, North Carolina(6)",534.3 
5121.0,"Randolph County, Arkansas(6)",534.2 
13137.0,"Habersham County, Georgia(7)",534.1 
