Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
BMIC LLC,DALLAS,DALLAS,TX,75212,32.77867,-96.86276,Petroleum,NO,0.26,0.0,0.0,0.26
W L GORE & ASSOCIATES INC,ELKTON,CECIL,MD,21921,39.664033,-75.807412,Chemicals,NO,0.0,0.0,0.0,1154.76
HENKEL OF AMERICA INC.,SEABROOK,ROCKINGHAM,NH,3874,42.88414,-70.88672,Chemicals,NO,210.0,0.0,0.0,233.0
CHAMPIONX-HUGHESVILLE,HUGHESVILLE,LYCOMING,PA,17737,41.22712,-76.72896,Chemical Wholesalers,NO,764.3,0.0,0.0,1680.2
PILOT THOMAS LOGISTICS LLC - EL RENO,EL RENO,CANADIAN,OK,73036,35.502762,-97.885415,Petroleum Bulk Terminals,NO,680.7,0.0,0.0,707.7
EXXONMOBIL BATON ROUGE CHEMICAL PLANT NORTH,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,30.502665,-91.173395,Chemicals,NO,0.0,0.0,0.0,0.0
DRUMMOND CO INC ABC COKE DIV,TARRANT,JEFFERSON,AL,35217,33.580769,-86.781281,Petroleum,NO,0.0,0.0,0.0,0.0
KERN ENERGY,BAKERSFIELD,KERN,CA,93307,35.295278,-118.921111,Petroleum,YES,7.0,0.0,0.0,8.0
ALABAMA BULK TERMINAL CO LLC,MOBILE,MOBILE,AL,36602,30.696255,-88.03294,Petroleum Bulk Terminals,NO,0.0,0.0,0.0,0.0
JAL 3 GAS PLANT,JAL,LEA,NM,88252,32.1742,-103.1741,Natural Gas Processing,NO,0.0,0.0,0.0,0.0
SOUTH PACIFIC PETROLEUM CORP,PITI,GUAM,GU,96925,13.464108,144.663331,Petroleum Bulk Terminals,YES,50.0,0.0,0.0,450.0
ADDIS CARBON BLACK PLANT,ADDIS,WEST BATON ROUGE PARISH,LA,70710,30.3288,-91.2792,Chemicals,NO,67604.0,0.0,0.0,67604.0
PREFORMED LINE PRODUCTS,ALBEMARLE,STANLY,NC,28001,35.34329,-80.164,Chemicals,YES,0.0,0.0,0.0,0.007
OMNIUM,HAMPTON,FRANKLIN,IA,50441,42.72891,-93.22767,Chemicals,NO,0.0,0.0,0.0,8.0
INDULOR AMERICA LP,GRAHAM,ALAMANCE,NC,27253,36.075239,-79.388432,Chemicals,YES,0.0,0.0,0.0,5.0
EXFLUOR RESEARCH,ROUND ROCK,WILLIAMSON,TX,78664,30.49,-97.645,Chemicals,NO,0.002,0.0,0.0,0.092
HOPETON,DACOMA,WOODS,OK,73731,36.681378,-98.639231,Natural Gas Processing,NO,604.0,0.0,0.0,1160.0
GALENA PARK TERMINAL CHEVRON USA INC,GALENA PARK,HARRIS,TX,77547,29.744547,-95.209697,Petroleum Bulk Terminals,YES,437.0,2.0,0.0,560.0
INEOS JOLIET LLC,CHANNAHON,WILL,IL,60410,41.445541,-88.174049,Chemicals,NO,3113.0,2.0,0.0,3796.0
GARLAND CO INC,CLEVELAND,CUYAHOGA,OH,44105,41.45551,-81.62347,Petroleum,NO,0.0,0.0,0.0,0.0
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,30.474444,-91.183056,Chemicals,NO,56800.18,0.0,0.0,89720.085
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,PLAQUEMINE,IBERVILLE PARISH,LA,70764,30.320903,-91.239015,Chemicals,NO,0.0,0.0,0.0,16.0
KAO SPECIALTIES AMERICAS LLC,HIGH POINT,GUILFORD,NC,27260,35.92333,-80.02967,Chemicals,NO,42.2,0.0,0.0,42.2
ROSEWOOD DEW POINT,GILMER,UPSHUR,TX,75644,32.7866,-95.06234,Natural Gas Processing,NO,351.0,0.0,0.0,824.0
TECH INTERNATIONAL (JOHNSTOWN),JOHNSTOWN,LICKING,OH,43031,40.15602,-82.68105,Plastics and Rubber,NO,5.0,0.0,0.0,10.0
HF SINCLAIR PARCO REFINING LLC,SINCLAIR,CARBON,WY,82334,41.77899,-107.104,Petroleum,YES,1.0,0.0,0.0,1.0
O'CONNELL OIL NORTHAMPTON FACILITY,NORTHAMPTON,HAMPSHIRE,MA,1060,42.30884,-72.64336,Petroleum Bulk Terminals,NO,1.49,0.0,0.0,1.49
COBITCO INC,DENVER,ADAMS,CO,80216,39.79228,-104.98881,Petroleum,NO,0.0,0.0,0.0,0.0
EXXONMOBIL OIL CORP JOLIET REFINERY,CHANNAHON,WILL,IL,60410,41.413831,-88.18346,Petroleum,NO,88.1,18.1,0.0,194.5
DIAMOND VOGEL INC.,ORANGE CITY,SIOUX,IA,51041,42.994105,-96.058161,Chemicals,YES,735.0,0.0,0.0,740.0
SIOUXLAND ENERGY COOPERATIVE,SIOUX CENTER,SIOUX,IA,51250,43.08446,-96.23038,Chemicals,YES,124.61,0.0,0.0,144.88
SUN CHEMICAL CORP COLOR  INTERMEDIATES,CINCINNATI,HAMILTON,OH,45232,39.18359,-84.50318,Chemicals,NO,649.0,0.0,0.0,1729.0
CATEXEL NEASE LLC,HARRISON,HAMILTON,OH,45030,39.27666,-84.6913,Chemicals,NO,3208.0,0.0,0.0,3582.0
TCI AMERICA,PORTLAND,MULTNOMAH,OR,97203,45.617973,-122.767936,Chemicals,NO,0.0,0.0,0.0,0.0
RYMES - LACONIA,LACONIA,BELKNAP,NH,3246,43.546788,-71.491258,Petroleum Bulk Terminals,NO,0.0,0.0,0.0,0.0
DCP GOLDSMITH PLANT,GOLDSMITH,ECTOR,TX,79741,31.980924,-102.634535,Natural Gas Processing,NO,0.0,0.0,0.0,0.0
SCHAEFFER MANUFACTURING,SAINT LOUIS,ST LOUIS (CITY),MO,63104,38.59999,-90.19886,Petroleum,NO,0.0,0.0,0.0,0.0
HUNT SOUTHLAND REFINING CO-SANDERSVILLE,SANDERSVILLE,JONES,MS,39477,31.8167,-89.0089,Petroleum,YES,0.02,0.0,0.0,0.02
VALVOLINE,DEER PARK,HARRIS,TX,77536,29.73317,-95.09654,Petroleum,NO,0.7,12.2,0.0,13.0
PROTECH POWDER COATINGS DBA CHEMIONICS CORP,TALLMADGE,SUMMIT,OH,44278,41.06155,-81.41665,Chemicals,NO,10.0,0.0,0.0,30.0
PARKER HANNIFIN CORP O-RING DIV,LEBANON,WILSON,TN,37087,36.21732,-86.32041,Chemicals,NO,1.3,0.0,0.0,7.7
LIPPERT PLANT 241,WAXAHACHIE,ELLIS,TX,75165,32.44937,-96.83559,Plastics and Rubber,YES,0.0,0.0,0.0,0.0
ONLINE PACKAGING INC,PLOVER,PORTAGE,WI,54467,44.45108,-89.575916,Chemicals,NO,5.0,0.0,0.0,10.0
IODITECH INC,KANSAS CITY,JACKSON,MO,64120,39.12491,-94.51332,Chemicals,NO,0.0,0.0,0.0,0.0
TEXPAR BAINBRIDGE TERMINAL,BAINBRIDGE,DECATUR,GA,39817,30.977328,-84.627958,Petroleum Bulk Terminals,YES,3.196,0.0,0.0,3.215
CITGO REFINING & CHEMICALS CO LP-DEEP SEA TERMINAL,CORPUS CHRISTI,NUECES,TX,78407,27.80382,-97.44441,Petroleum Bulk Terminals,NO,139.47,0.0,0.0,226.47
THE TORO CO,EL PASO,EL PASO,TX,79924,31.87878,-106.40186,Plastics and Rubber,YES,0.0,0.0,0.0,0.0
COVENTRY COATINGS CORP,NEWBURGH,ORANGE,NY,12550,41.52225,-74.04402,Chemicals,NO,0.0,0.0,0.0,1239.0
AQUATIC CO,ELIZABETHTOWN,LANCASTER,PA,17022,40.1624,-76.65679,Plastics and Rubber,YES,17140.0,0.0,0.0,17140.0
SOUTHWEST DISTRIBUTING CO.,MESA,MARICOPA,AZ,85210,33.405,-111.8325,Chemicals,NO,0.0,0.0,0.0,0.0
BRENNTAG SOUTHWEST INC LONG VIEW,LONGVIEW,GREGG,TX,75604,32.497936,-94.817962,Chemical Wholesalers,NO,0.0,0.0,0.0,0.0
WILBUR ELLIS CO LLC RIO LINDA HUB,RIO LINDA,SACRAMENTO,CA,95673,38.686872,-121.481652,Chemicals,NO,0.0,0.0,0.0,0.0
PEAK ASPHALT LLC RAWLINS PLANT,RAWLINS,CARBON,WY,82301,41.7878,-107.211345,Petroleum,NO,0.0,0.0,0.0,0.0
BASF CORP,MONACA,BEAVER,PA,15061,40.660554,-80.347521,Chemicals,YES,31.0,1.0,0.0,153.0
ALLIED PETROCHEMICAL PLANT,ALVIN,BRAZORIA,TX,77511,29.318786,-95.254903,Petroleum,NO,250.0,0.0,0.0,1000.0
MADISON CHEMICAL CO INC,MADISON,JEFFERSON,IN,47250,38.7507,-85.44991,Chemicals,NO,0.0,0.0,0.0,0.0
AURORIUM LLC - ZEELAND,ZEELAND,OTTAWA,MI,49464,42.815845,-86.00946,Chemicals,YES,160.0,0.0,0.0,452.0
INDUSTRIAL LAMINATES/NORPLEX INC,POSTVILLE,ALLAMAKEE,IA,52162,43.09011,-91.5549,Plastics and Rubber,YES,47553.0,0.0,0.0,47889.0
COSACO LLC,HOUSTON,HARRIS,TX,77045,29.62164,-95.41636,Chemicals,NO,960.0,11.0,0.0,1813.0
SUNSHINE SILVER MINE,KELLOGG,SHOSHONE,ID,83837,47.508709,-116.024196,Metal Mining,YES,0.0,0.0,0.0,0.0
TESORO - VANCOUVER WA TERMINAL,VANCOUVER,CLARK,WA,98660,45.637698,-122.697177,Petroleum Bulk Terminals,YES,0.0,0.0,0.0,0.0
INEOS NITRILES USA LLC           GREEN LAKE PLANT,PORT LAVACA,CALHOUN,TX,77979,28.570964,-96.83341,Chemicals,YES,0.0,0.0,0.0,60796.0
TEKNOR APEX ELASTOMERS INC.,LEOMINSTER,WORCESTER,MA,1453,42.51536,-71.75069,Plastics and Rubber,NO,68.9,4.0,0.0,72.9
AKRON PAINT & VARNISH INC.,AKRON,SUMMIT,OH,44301,41.04902,-81.52919,Chemicals,NO,0.0,0.0,0.0,4395.0
MCGEAN-ROHCO INC,LIVONIA,WAYNE,MI,48150,42.38151,-83.42288,Chemicals,NO,5.0,0.0,0.0,10.0
TIGER PLANT,ORLA,CULBERSON,TX,79770,31.99271,-104.05673,Natural Gas Processing,YES,12.0,0.0,0.0,17.0
MYCONE DENTAL SUPPLY CO. INC. CHERRY HILL NJ,CHERRY HILL,CAMDEN,NJ,8002,39.935667,-75.039722,Chemicals,NO,0.0,0.0,0.0,0.0
COEUR ROCHESTER INC,LOVELOCK,PERSHING,NV,89419,40.288267,-118.141222,Metal Mining,NO,0.0,0.0,0.0,4200.0
JOAQUIN GAS PLANT,JOAQUIN,SHELBY,TX,75954,31.91059,-94.0591,Natural Gas Processing,YES,0.0,0.0,0.0,0.0
HARVEST FOUR CORNERS,DURANGO,LA PLATA,CO,81303,37.144052,-107.786349,Natural Gas Processing,NO,353.0,0.0,0.0,363.0
FORMULATED SOLUTIONS LLC,LARGO,PINELLAS,FL,33773,27.879715,-82.760788,Chemicals,NO,0.0,0.0,0.0,0.0
