Facility Name,City,County,State,ZIP,Latitude,Longitude,Industry Sector,Carcinogen,Stack Air,Water,Underground,On-Site Release Total
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,NO,842,971,0,399457509
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,NO,332,2.94,0,344780769.9
KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,BINGHAM CANYON,SALT LAKE,UT,84006,40.516666,-112.150002,Metal Mining,NO,19,20,0,191272990.3
HECLA GREENS CREEK MINING CO,JUNEAU,JUNEAU CITY AND BOROUGH,AK,99801,58.081802,-134.641206,Metal Mining,NO,6798,130,0,75596269
DARK HORSE TREATING FACILITY,JAL,LEA,NM,88252,32.1195,-103.2893,Natural Gas Processing,NO,5946,0,0,73621326
NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC,CARLIN,ELKO,NV,89822,40.974445,-116.349998,Metal Mining,YES,3,0,0,58489642
KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT,BINGHAM CANYON,SALT LAKE,UT,84006,40.516666,-112.150002,Metal Mining,NO,11,495,0,50850490
MIDWAY GAS PLANT,CRANE,CRANE,TX,79731,31.499865,-102.641279,Natural Gas Processing,NO,32000,0,0,42032004.1
NEVADA GOLD MINES LLC - CARLIN SOUTH AREA,CARLIN,EUREKA,NV,89822,40.7813,-116.1858,Metal Mining,YES,243,0,0,22773044
SAND HILLS GAS PLANT,CRANE,CRANE,TX,79731,31.501667,-102.640277,Natural Gas Processing,NO,21000,0,0,20021033
RED DOG OPERATIONS,KOTZEBUE,NORTHWEST ARCTIC BOROUGH,AK,99752,68.061507,-162.855492,Metal Mining,NO,0.4,0,0,18781436.4
NEVADA GOLD MINES LLC - GOLDSTRIKE MINES INC,CARLIN,ELKO,NV,89822,40.974445,-116.349998,Metal Mining,YES,217,0,0,16998905
MONTANA RESOURCES LLC,BUTTE,SILVER BOW,MT,59701,46.007588,-112.501703,Metal Mining,NO,71,0,0,16852661
BASIN ELECTRIC ANTELOPE VALLEY STATION,BEULAH,MERCER,ND,58523,47.370445,-101.838042,Chemicals,NO,10100,424,0,15412853
HECLA GREENS CREEK MINING CO,JUNEAU,JUNEAU CITY AND BOROUGH,AK,99801,58.081802,-134.641206,Metal Mining,NO,15499,330,0,14878817
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,CANTONMENT,ESCAMBIA,FL,325338926,30.596678,-87.251977,Chemicals,NO,0,0,0,13751354
ROBINSON NEVADA MINING CO,RUTH,WHITE PINE,NV,89319,39.28107,-114.992175,Metal Mining,NO,1.9,0,0,13390145.3
ONEOK ROCKIES MIDSTREAM LLC - GRASSLANDS GAS PLANT,ALEXANDER,MCKENZIE,ND,58831,47.590688,-103.999016,Natural Gas Processing,NO,0,0,0,12911553
